"is"	"becomes"
"1241"	5445	4
"1242"	5447	4
"1243"	5451	99
"1244"	5452	2
"1245"	5453	3
"1246"	5454	4
"1247"	5455	5
"1248"	5457	5
"1249"	5471	99
"1250"	5472	2
"1251"	5473	3
"1252"	5474	4
"1253"	5475	5
"1254"	5477	7
"1255"	5511	1
"1256"	5512	2
"1257"	5513	3
"1258"	5514	99
"1259"	5515	5
"1260"	5517	99
"1261"	5521	5
"1262"	5522	2
"1263"	5523	5
"1264"	5524	5
"1265"	5525	5
"1266"	5527	5
"1267"	5531	3
"1268"	5532	2
"1269"	5533	3
"1270"	5534	3
"1271"	5535	5
"1272"	5537	3
"1273"	5541	99
"1274"	5542	2
"1275"	5543	3
"1276"	5544	4
"1277"	5545	5
"1278"	5547	5
"1279"	5551	5
"1280"	5552	5
"1281"	5553	5
"1282"	5554	5
"1283"	5555	5
"1284"	5557	5
"1285"	5571	99
"1286"	5572	2
"1287"	5573	3
"1288"	5574	5
"1289"	5575	5
"1290"	5577	5
"1291"	5711	99
"1292"	5712	2
"1293"	5713	3
"1294"	5715	99
"1295"	5717	99
"1296"	5721	1
"1297"	5722	2
"1298"	5723	2
"1299"	5724	2
"1300"	5725	5
"1301"	5727	7
"1302"	5731	3
"1303"	5732	2
"1304"	5733	3
"1305"	5734	3
"1306"	5735	3
"1307"	5737	3
"1308"	5742	2
"1309"	5743	3
"1310"	5744	4
"1311"	5745	5
"1312"	5747	7
"1313"	5751	99
"1314"	5752	2
"1315"	5753	3
"1316"	5754	5
"1317"	5755	5
"1318"	5757	5
"1319"	5771	99
"1320"	5772	2
"1321"	5773	3
"1322"	5774	7
"1323"	5775	5
"1324"	5777	7
"1325"	7111	1
"1326"	7112	2
"1327"	7113	3
"1328"	7114	99
"1329"	7115	99
"1330"	7117	1
"1331"	7121	2
"1332"	7122	2
"1333"	7123	2
"1334"	7124	2
"1335"	7125	2
"1336"	7127	2
"1337"	7131	3
"1338"	7132	2
"1339"	7133	3
"1340"	7134	3
"1341"	7135	3
"1342"	7137	3
"1343"	7141	99
"1344"	7142	2
"1345"	7143	3
"1346"	7144	99
"1347"	7145	99
"1348"	7151	99
"1349"	7152	2
"1350"	7153	3
"1351"	7154	99
"1352"	7155	99
"1353"	7157	99
"1354"	7171	1
"1355"	7172	2
"1356"	7173	3
"1357"	7174	99
"1358"	7175	99
"1359"	7177	7
"1360"	7211	2
"1361"	7212	2
"1362"	7213	2
"1363"	7214	2
"1364"	7215	2
"1365"	7217	2
"1366"	7221	2
"1367"	7222	2
"1368"	7223	2
"1369"	7224	2
"1370"	7225	2
"1371"	7227	2
"1372"	7231	2
"1373"	7232	2
"1374"	7233	2
"1375"	7234	2
"1376"	7235	2
"1377"	7237	2
"1378"	7241	2
"1379"	7242	2
"1380"	7243	2
"1381"	7244	2
"1382"	7245	2
"1383"	7247	2
"1384"	7251	2
"1385"	7252	2
"1386"	7253	2
"1387"	7254	2
"1388"	7255	2
"1389"	7257	2
